Date,Close,% Change,% Change vs Average,Volume,,,
2025-02-11T19:40:00.000Z,"94,996.64",0.09,0.09,"1,080,748,032",,,
2025-02-11T19:45:00.000Z,"94,988.93",-0.01,-0.01,"299,659,264",,,
2025-02-11T19:50:00.000Z,"95,207.89",0.23,0.23,0,,,
2025-02-11T19:55:00.000Z,"95,099.53",-0.11,-0.11,"144,390,144",,,
2025-02-11T20:00:00.000Z,"95,111.12",0.01,0.01,"20,729,856",,,
2025-02-11T20:05:00.000Z,"95,224.59",0.12,0.12,0,,,
2025-02-11T20:10:00.000Z,"95,162.17",-0.07,-0.06,"47,992,832",,,
2025-02-11T20:15:00.000Z,"95,059.62",-0.11,-0.11,"81,848,320",,,
2025-02-11T20:20:00.000Z,"95,173.10",0.12,0.12,"645,916,672",,,
2025-02-11T20:25:00.000Z,"95,203.80",0.03,0.03,"96,415,744",,,
2025-02-11T20:30:00.000Z,"95,386.64",0.19,0.19,0,,,
2025-02-11T20:35:00.000Z,"95,238.98",-0.15,-0.15,"93,065,216",,,
2025-02-11T20:40:00.000Z,"95,084.91",-0.16,-0.16,"756,301,824",,,
2025-02-11T20:45:00.000Z,"94,985.95",-0.1,-0.1,"193,642,496",,,
2025-02-11T20:50:00.000Z,"95,118.56",0.14,0.14,"37,154,816",,,
2025-02-11T20:55:00.000Z,"95,241.06",0.13,0.13,0,,,
2025-02-11T21:00:00.000Z,"95,412.72",0.18,0.18,"154,451,968",,,
2025-02-11T21:05:00.000Z,"95,294.21",-0.12,-0.12,0,,,
2025-02-11T21:10:00.000Z,"95,475.15",0.19,0.19,"627,765,248",,,
2025-02-11T21:15:00.000Z,"95,535.17",0.06,0.06,"658,378,752",,,
2025-02-11T21:20:00.000Z,"95,689.05",0.16,0.16,0,,,
2025-02-11T21:25:00.000Z,"95,658.05",-0.03,-0.03,"297,484,288",,,
2025-02-11T21:30:00.000Z,"95,892.73",0.25,0.25,"544,956,416",,,
2025-02-11T21:35:00.000Z,"95,991.59",0.1,0.1,0,,,
2025-02-11T21:40:00.000Z,"96,177.09",0.19,0.19,"199,659,520",,,
2025-02-11T21:45:00.000Z,"96,400.38",0.23,0.23,"165,875,712",,,
2025-02-11T21:50:00.000Z,"96,173.17",-0.24,-0.23,"742,854,656",,,
2025-02-11T21:55:00.000Z,"96,247.80",0.08,0.08,0,,,
2025-02-11T22:00:00.000Z,"96,449.16",0.21,0.21,"111,325,184",,,
2025-02-11T22:05:00.000Z,"96,283.08",-0.17,-0.17,"600,485,888",,,
2025-02-11T22:10:00.000Z,"96,273.62",-0.01,-0.01,"136,146,944",,,
2025-02-11T22:15:00.000Z,"96,275.57",0,0,"83,111,936",,,
2025-02-11T22:20:00.000Z,"96,311.31",0.04,0.04,0,,,
2025-02-11T22:25:00.000Z,"96,226.20",-0.09,-0.09,"246,906,880",,,
2025-02-11T22:30:00.000Z,"96,185.84",-0.04,-0.04,0,,,
2025-02-11T22:35:00.000Z,"95,970.13",-0.22,-0.22,0,,,
2025-02-11T22:40:00.000Z,"95,897.08",-0.08,-0.07,"278,212,608",,,
2025-02-11T22:45:00.000Z,"96,030.52",0.14,0.14,0,,,
2025-02-11T22:50:00.000Z,"95,909.93",-0.13,-0.12,"1,756,626,944",,,
2025-02-11T22:55:00.000Z,"95,506.30",-0.42,-0.42,0,,,
2025-02-11T23:00:00.000Z,"95,701.53",0.2,0.21,"320,512,000",,,
2025-02-11T23:05:00.000Z,"95,634.97",-0.07,-0.07,"980,795,392",,,
2025-02-11T23:10:00.000Z,"95,776.66",0.15,0.15,0,,,
2025-02-11T23:15:00.000Z,"95,737.60",-0.04,-0.04,"212,230,144",,,
2025-02-11T23:20:00.000Z,"95,901.81",0.17,0.17,0,,,
2025-02-11T23:25:00.000Z,"95,921.76",0.02,0.02,"218,546,176",,,
2025-02-11T23:30:00.000Z,"95,870.10",-0.05,-0.05,"4,644,864",,,0.083333333
2025-02-11T23:35:00.000Z,"95,892.47",0.02,0.02,"693,235,712",,,
2025-02-11T23:40:00.000Z,"95,757.51",-0.14,-0.14,0,,,
2025-02-11T23:45:00.000Z,"95,808.89",0.05,0.05,"1,017,352,192",,,
2025-02-11T23:50:00.000Z,"95,793.49",-0.02,-0.01,"47,767,552",,,
2025-02-11T23:55:00.000Z,"95,740.73",-0.06,-0.05,0,,,
